business_code,cust_number,name_customer,clear_date,buisness_year,doc_id,posting_date,due_in_date,baseline_create_date,cust_payment_terms,diff,coverted_usd
CA02,0140105686,SYSC llc,,2020.0,2960623488.0,2020-03-30,2020-04-10,2020-03-31,CA10,not equal,2309.7899999999995
U001,0200744019,TARG us,,2020.0,1930659387.0,2020-03-19,2020-04-03,2020-03-19,NAA8,not equal,7821.114
U001,0200418007,AM ,,2020.0,1930610806.0,2020-03-11,2020-03-26,2020-03-11,NAA8,not equal,2467.913
U001,0200739534,OK systems,,2020.0,1930788296.0,2020-04-15,2020-04-30,2020-04-15,NAA8,equal,84773.95499999999
U001,0200353024,DECA corporation,,2020.0,1930817482.0,2020-04-23,2020-04-26,2020-04-16,NAM2,not equal,2608.2419999999997
U001,0200744019,TARG associates,,2020.0,1930676042.0,2020-03-21,2020-04-05,2020-03-21,NAA8,not equal,4125.107
CA02,0140106408,WAL-M corp,,2020.0,2960618790.0,2020-03-06,2020-03-16,2020-03-06,CA10,equal,64982.589
U001,0200337148,COAS llc,,2020.0,1930592246.0,2020-03-02,2020-03-17,2020-03-02,NAA8,equal,7966.580999999999
U001,0200794332,COST associates,,2020.0,1930731070.0,2020-04-07,2020-04-22,2020-04-07,NAAX,not equal,2704.7509999999997
U001,0200794332,COST llc,,2020.0,1930803605.0,2020-04-23,2020-05-08,2020-04-23,NAAX,not equal,52117.106999999996
U001,0200803720,DEC corp,,2020.0,1930698352.0,2020-03-25,2020-04-08,2020-03-16,NAM4,not equal,97.02
U001,0200794332,COST co,,2020.0,1930647189.0,2020-03-13,2020-03-28,2020-03-13,NAAX,equal,22900.828999999998
U001,0200020431,DEC us,,2020.0,1930861637.0,2020-05-06,2020-05-24,2020-05-01,NAM4,not equal,122.30399999999999
U001,0200769623,WAL-MAR associates,,2020.0,1930635649.0,2020-03-12,2020-03-27,2020-03-12,NAH4,not equal,537.4459999999999
