,business_code,cust_number,name_customer,clear_date,buisness_year,doc_id,posting_date,due_in_date,baseline_create_date,cust_payment_terms,coverted_usd,Aging Bucket
0,CA02,0140105686,SYSC llc,2020-04-27 23:53:55.875000000,2020.0,2960623488.0,2020-03-30,2020-04-10,2020-03-31,CA10,2309.7899999999995,16-30
1,U001,0200744019,TARG us,2020-04-14 10:28:53.562500000,2020.0,1930659387.0,2020-03-19,2020-04-03,2020-03-19,NAA8,7821.114,0-15
2,U001,0200418007,AM ,2020-03-23 21:53:24.171875000,2020.0,1930610806.0,2020-03-11,2020-03-26,2020-03-11,NAA8,2467.913,
3,U001,0200739534,OK systems,2020-05-01 20:36:11.984375000,2020.0,1930788296.0,2020-04-15,2020-04-30,2020-04-15,NAA8,84773.95499999999,0-15
4,U001,0200353024,DECA corporation,2020-04-23 06:02:17.453125000,2020.0,1930817482.0,2020-04-23,2020-04-26,2020-04-16,NAM2,2608.242,
5,U001,0200744019,TARG associates,2020-04-07 16:00:02.578125000,2020.0,1930676042.0,2020-03-21,2020-04-05,2020-03-21,NAA8,4125.107,0-15
6,CA02,0140106408,WAL-M corp,2020-03-30 12:04:40.750000000,2020.0,2960618790.0,2020-03-06,2020-03-16,2020-03-06,CA10,64982.589,0-15
7,U001,0200337148,COAS llc,2020-03-18 01:53:23.171875000,2020.0,1930592246.0,2020-03-02,2020-03-17,2020-03-02,NAA8,7966.580999999999,0-15
8,U001,0200794332,COST associates,2020-04-22 05:56:36.343750000,2020.0,1930731070.0,2020-04-07,2020-04-22,2020-04-07,NAAX,2704.751,0-15
9,U001,0200794332,COST llc,2020-05-08 14:11:00.394531250,2020.0,1930803605.0,2020-04-23,2020-05-08,2020-04-23,NAAX,52117.107,0-15
10,U001,0200803720,DEC corp,2020-04-08 02:51:36.226562500,2020.0,1930698352.0,2020-03-25,2020-04-08,2020-03-16,NAM4,97.02,0-15
11,U001,0200794332,COST co,2020-03-28 01:23:28.214843750,2020.0,1930647189.0,2020-03-13,2020-03-28,2020-03-13,NAAX,22900.829,0-15
12,U001,0200020431,DEC us,2020-05-24 16:11:02.468750000,2020.0,1930861637.0,2020-05-06,2020-05-24,2020-05-01,NAM4,122.304,0-15
13,U001,0200769623,WAL-MAR associates,2020-03-28 04:04:54.351562500,2020.0,1930635649.0,2020-03-12,2020-03-27,2020-03-12,NAH4,537.4459999999999,0-15
14,CA02,140105785,SHOPPE foundation,2020-04-28 05:46:23.750000000,2020.0,2960624627.0,2020-03-27,2020-04-10,2020-03-31,CA10,1980.72,16-30
15,U001,0200769623,WAL-MAR ,2020-03-15 03:47:14.132812500,2020.0,1930577078.0,2020-02-28,2020-03-14,2020-02-28,NAH4,10160.276,0-15
16,U001,0200769623,WAL-MAR foundation,2020-04-26 20:28:15.390625000,2020.0,1930774741.0,2020-04-10,2020-04-25,2020-04-10,NAH4,38780.217,0-15
17,U001,0200772670,ASSOCIAT corporation,2020-04-26 04:27:33.515625000,2020.0,1930765053.0,2020-04-09,2020-04-24,2020-04-09,NAU5,122336.45199999998,0-15
18,U001,0200900909,SYSCO systems,2020-04-16 00:48:11.406250000,2020.0,1930645969.0,2020-03-13,2020-04-14,2020-03-13,NA32,22058.925,0-15
